Fecha,Producto bruto interno y demanda interna (índice 2007 = 100) - PBI,Bolsa de Valores de Lima - Montos Negociados en Bolsa (millones S/),Bolsa de Valores de Lima - Índices Bursátiles - Índice General BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - Índice Selectivo BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Financial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Industrial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Mining (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Services (base 30/10/98 = 100)
Nov08,110.6670875,2192.56,7405.5,12274.74,n.d.,n.d.,n.d.,n.d.
Dic08,117.4750877,1149,7048.67,11691.34,n.d.,n.d.,n.d.,n.d.
Ene09,102.9578589,889.52,6905.39,11351.89,n.d.,n.d.,n.d.,n.d.
Feb09,101.0337067,675.67,6671.72,10912.17,n.d.,n.d.,n.d.,n.d.
Mar09,107.1527259,1063.14,9237.65,14699.79,n.d.,n.d.,n.d.,n.d.
Abr09,108.8521313,1052.1,9979.19,16542.91,n.d.,n.d.,n.d.,n.d.
May09,114.2330236,1769.19,13392.27,22541.99,n.d.,n.d.,n.d.,n.d.
Jun09,108.9732712,1241,13059.7,21446.02,n.d.,n.d.,n.d.,n.d.
Jul09,110.739303,1020.17,14092.02,23433.38,n.d.,n.d.,n.d.,n.d.
Ago09,109.8540913,1033.31,13955.38,22542.34,n.d.,n.d.,n.d.,n.d.
Sep09,111.0047164,1247.45,15144.2,24499.04,n.d.,n.d.,n.d.,n.d.
Oct09,113.0666521,3433.89,14213.54,22545.73,n.d.,n.d.,n.d.,n.d.
Nov09,113.616686,1176.76,14129,22798.1,n.d.,n.d.,n.d.,n.d.
Dic09,122.3846703,2343.43,14167.2,22434.09,n.d.,n.d.,n.d.,n.d.
Ene10,106.3456791,992,14440.5,22707.94,n.d.,n.d.,n.d.,n.d.
Feb10,106.3626476,903.17,14002.32,21937.73,n.d.,n.d.,n.d.,n.d.
Mar10,116.0271348,1077.98,15129,23048.69,n.d.,n.d.,n.d.,n.d.
Abr10,117.6408309,1446.624,15842.26,23560.99,n.d.,n.d.,n.d.,n.d.
May10,122.901051,959.76,14487.31,21598.86,n.d.,n.d.,n.d.,n.d.
Jun10,122.9714109,775.91,13985.01,20741.15,n.d.,n.d.,n.d.,n.d.
Jul10,121.6929956,771.1,14275.38,21452.78,n.d.,n.d.,n.d.,n.d.
Ago10,119.3717421,2121,15153.33,22807.56,n.d.,n.d.,n.d.,n.d.
Sep10,122.0659336,1416.02,17867.36,26055.67,n.d.,n.d.,n.d.,n.d.
Oct10,123.5802628,3920.38,19220.93,28031.77,n.d.,n.d.,n.d.,n.d.
Nov10,123.4750716,1907.69,20854.5,28989.81,n.d.,n.d.,n.d.,n.d.
Dic10,131.6999851,2722.75,23374.57,32050.41,n.d.,n.d.,n.d.,n.d.
Ene11,116.5179164,1864.53,22887.41,31199.64,n.d.,n.d.,n.d.,n.d.
Feb11,114.9331696,1900.99,22842.96,30986.04,n.d.,n.d.,n.d.,n.d.
Mar11,124.9441942,2311.72,21957.49,29989.71,n.d.,n.d.,n.d.,n.d.
Abr11,126.3764095,2865.21,19636.22,27346.86,n.d.,n.d.,n.d.,n.d.
May11,129.7121043,2570.53,21566.07,29788.77,n.d.,n.d.,n.d.,n.d.
Jun11,126.6372272,1938.13,18878.78,25855.19,n.d.,n.d.,n.d.,n.d.
Jul11,129.0737616,1290.87,21963.1,30390.59,n.d.,n.d.,n.d.,n.d.
Ago11,127.107996,1363.35,20697.11,28886.03,n.d.,n.d.,n.d.,n.d.
Sep11,128.0529546,1636.86,18329.1,25552.34,n.d.,n.d.,n.d.,n.d.
Oct11,129.0876368,1047.27,19629.63,27356.2,n.d.,n.d.,n.d.,n.d.
Nov11,129.3305678,1484.277,19911.82,27851.71,n.d.,n.d.,n.d.,n.d.
Dic11,143.1143194,1313,19473.71,27335.2,n.d.,n.d.,n.d.,n.d.
Ene12,122.8699798,1156.8,21948.07,30249.54,n.d.,n.d.,n.d.,n.d.
