Fecha,Producto bruto interno y demanda interna (índice 2007 = 100) - PBI,Bolsa de Valores de Lima - Montos Negociados en Bolsa (millones S/),Bolsa de Valores de Lima - Índices Bursátiles - Índice General BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - Índice Selectivo BVL (base 31/12/91 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Financial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Industrial (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Mining (base 30/10/98 = 100),Bolsa de Valores de Lima - Índices Bursátiles - SP/BVL - Services (base 30/10/98 = 100)
May17,163.331562,1436.46,16000.08,24246.39,865.41,200.09,263.97,439.44
Jun17,162.1931221,1694.112,16132.87,23972.03,914.39,194.34,258.56,429.27
Jul17,162.2561253,1141.082,16750.17,24632.27,936.41,197.62,283.23,444.86
Ago17,162.5501389,1400.52,17616.44,25948.83,1010.98,204.84,297.41,439.64
Sep17,164.0310331,1794.607271,18087.42,27621.81,1027.18,224.4,293.76,441.97
Oct17,164.6786797,5550.847508,19874.12,32465.25,1055.41,251.39,345.74,436.05
Nov17,161.8151186,4824.754865,19722.18,31226.99,1080.29,241.24,337.11,421.31
Dic17,178.4904601,1850.943,19974.38,30766.81,1069.15,235.96,355.48,416.58
Ene18,154.879294,2327.157,21068.89,32125.68,1178.79,241.96,370.97,411.03
Feb18,151.7221957,1550.997,20831.78,30908.51,1123.62,231.48,383.24,403.23
Mar18,161.6493891,1745.507,20558.84,30728.05,1144.83,237.44,362.09,407.1
Abr18,169.5839012,1623.631,21428.86,32165.6,1207.36,252.59,372.31,403.46
May18,174.2872952,2967.079,20814.29,30807.48,1169.36,248.21,351.13,417.35
Jun18,165.5539593,1630.426,19800.26,28379.32,1164.91,236.08,317.89,404.52
Jul18,166.4865756,1289.101,20485.72,29567.46,1200.49,241.21,329.95,442.12
Ago18,166.3216912,1406.427465,19443.11,27769.92,1153.76,221.96,302.47,431.34
Sep18,167.9514935,1152.404509,19564.07,27217.02,1181.14,217.14,308.53,430.71
Oct18,171.4039141,1322.644437,18909.4,25166.71,1205.54,206.11,286.73,407.24
Nov18,170.0014676,1780.21752,19180.97,26461.83,1187.8,219.4,282.53,394.43
Dic18,186.8933424,1572.917,19350.4,26508.09,1199.97,226.9,284.83,397.61
Ene19,157.4825023,1242.896,20190.87,27316.37,1293.51,230.03,286.04,389.34
Feb19,154.8784246,1174.245,20614.45,27500.37,1282.05,226.1,305.7,416.75
Mar19,167.1194563,1416.548,21098.07,28022.32,1273.33,236.18,321.76,433.71
Abr19,169.5746286,1289.428,20896.5,27344.57,1286.82,233.34,305.39,444.91
May19,175.4860724,2857.328,19922.77,25234.03,1249.66,214.43,280.75,442.94
Jun19,170.2178983,1627.006,20622.79,26032.45,1242.26,217.93,305.94,474.26
Jul19,173.02859,2545.385,19957.26,25328.41,1196.75,214,286.06,502.35
Ago19,172.5005396,1867.362,19106.75,23998.15,1146.09,201.63,270.33,510.26
Sep19,172.2039751,1264.764,19602.71,24925.85,1167.68,201.04,280.6,593.05
Oct19,176.047613,1220.87,19904.87,24849.55,1200.26,209.24,282.64,625.94
Nov19,173.9346897,739.985188,20078,24292.73,1194.95,201.67,292.69,630.32
Dic19,189.219407,993.774,20526.13,25752.88,1179.61,211.12,304.66,651.51
Ene20,162.6923937,1890.59,19834.9,25270.72,1178.08,199.02,276.35,636.77
